TransactionID,AccountID,TransactionAmount,TransactionDate,TransactionType,Location,DeviceID,IP Address,MerchantID,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,PreviousTransactionDate,Sender Account,Receiver Account,Sender Country,Receiver Country,Sender Currency,Receiver Currency,Account Status,Invalid Pin Status,Invalid pin retry limits,Invalid pin retry count
TX000011,AC00399,2700.86,29/08/2024 13:58,Debit,Atlanta,D000252,189.246.230.62,M067,ATM,71,Analyst,115,2,7868.90,NaN/NaN/NaN NaN:NaN,SA006935,RA007809,Germany,Spain,GBP,AUD,Suspended,Locked,3,3
TX000012,AC00624,3155.05,09/12/2024 15:01,Transfer,Raleigh,D000440,146.219.155.230,M099,POS,18,Designer,176,5,22563.43,11/05/2024 11:34,SA009458,RA009045,France,UK,USD,USD,Active,Locked,3,2
TX000013,AC00361,2208.86,18/11/2023 08:14,Debit,Houston,D000316,119.51.124.30,M076,ATM,32,Designer,159,4,10645.49,NaN/NaN/NaN NaN:NaN,SA002534,RA007911,Australia,Canada,AUD,EUR,Flagged,Locked,3,0
TX000014,AC00058,3932.44,01/02/2024 07:05,Withdrawal,San Diego,D000423,39.230.68.31,M019,Online,21,Doctor,150,4,46055.03,22/11/2023 08:22,SA002997,RA003102,Belgium,Italy,CAD,EUR,Inactive,Valid,3,3
TX000015,AC00688,2303.65,17/10/2023 04:28,Credit,Boston,D000074,32.192.115.158,M080,ATM,31,Nurse,149,1,5964.69,NaN/NaN/NaN NaN:NaN,SA009491,RA005301,Germany,France,GBP,EUR,Flagged,Locked,3,3
TX000016,AC00994,1896.54,08/09/2023 12:37,Withdrawal,Denver,D000554,84.29.192.28,M065,ATM,26,Sales,88,4,32053.33,13/03/2023 23:01,SA006688,RA001874,Italy,Belgium,CAD,AUD,Active,Valid,3,0
TX000017,AC00309,1721.05,26/03/2024 13:38,Debit,Phoenix,D000100,173.26.237.98,M027,Branch,77,Architect,33,1,29137.53,NaN/NaN/NaN NaN:NaN,SA004298,RA003872,Spain,France,GBP,USD,Flagged,Locked,3,1
TX000018,AC00873,492.13,01/01/2024 01:28,Debit,Dallas,D000775,206.43.78.17,M090,POS,29,Architect,33,2,10789.46,13/06/2023 08:11,SA002784,RA004535,UK,USA,GBP,USD,Active,Locked,3,3
TX000019,AC00748,133.98,28/02/2023 21:53,Debit,Atlanta,D000315,42.211.241.142,M049,Branch,38,Doctor,61,1,29272.54,NaN/NaN/NaN NaN:NaN,SA008081,RA009708,UK,UK,GBP,GBP,Inactive,Locked,3,1
TX000020,AC00766,927.37,31/03/2024 03:27,Debit,Houston,D000570,36.155.247.195,M014,ATM,55,Analyst,69,4,47659.09,NaN/NaN/NaN NaN:NaN,SA004652,RA007419,Australia,UK,AUD,AUD,Flagged,Invalid,3,0
TX000021,AC00858,3221.96,11/05/2023 15:32,Credit,Mesa,D000280,112.142.90.144,M078,ATM,24,Doctor,59,4,30870.47,13/02/2023 09:37,SA004428,RA005285,Canada,USA,AUD,AUD,Suspended,Locked,3,2
TX000022,AC00486,410.68,13/11/2024 16:15,Withdrawal,Mesa,D000389,80.49.62.158,M036,POS,30,Student,38,2,43914.32,NaN/NaN/NaN NaN:NaN,SA001108,RA007639,Spain,UK,GBP,GBP,Active,Invalid,3,3
TX000023,AC00950,2358.94,05/09/2024 20:25,Credit,Seattle,D000172,11.5.107.199,M006,Online,20,Consultant,138,5,5139.46,03/12/2023 09:35,SA000328,RA003641,USA,Italy,USD,AUD,Suspended,Locked,3,2
TX000024,AC00483,4276.81,24/02/2023 14:51,Transfer,Atlanta,D000036,11.60.100.178,M003,Mobile,37,Designer,102,3,144.21,NaN/NaN/NaN NaN:NaN,SA005011,RA002132,UK,Australia,USD,EUR,Inactive,Valid,3,0
TX000025,AC00353,2202.14,13/04/2023 10:21,Debit,Denver,D000383,52.84.100.29,M011,Online,38,Manager,136,3,23780.01,NaN/NaN/NaN NaN:NaN,SA003238,RA001687,Netherlands,UK,EUR,USD,Flagged,Valid,3,2
TX000026,AC00086,2306.64,17/07/2023 00:17,Debit,Denver,D000479,152.240.24.44,M061,Mobile,18,Lawyer,46,1,46642.49,NaN/NaN/NaN NaN:NaN,SA005028,RA001686,Netherlands,Netherlands,AUD,USD,Active,Invalid,3,1
TX000027,AC00809,1392.95,03/10/2024 13:23,Debit,Seattle,D000957,33.154.188.81,M087,Branch,76,Engineer,93,5,30781.24,10/03/2024 11:19,SA002342,RA006069,Spain,Italy,USD,EUR,Suspended,Invalid,3,3
TX000028,AC00061,3673.99,16/08/2024 00:20,Debit,Los Angeles,D000198,158.25.94.130,M059,ATM,52,Analyst,68,2,6605.26,NaN/NaN/NaN NaN:NaN,SA003386,RA006153,Italy,Netherlands,USD,CAD,Inactive,Valid,3,2
TX000029,AC00388,1504.04,18/04/2024 00:54,Credit,San Diego,D000026,248.101.83.157,M033,POS,72,Student,154,2,27518.95,NaN/NaN/NaN NaN:NaN,SA001389,RA007076,Canada,UK,USD,CAD,Active,Invalid,3,1
TX000030,AC00821,2505.76,02/03/2024 12:19,Debit,Austin,D000972,156.249.219.150,M095,POS,22,Lawyer,42,5,8982.72,23/01/2024 08:11,SA009477,RA001529,Australia,Spain,CAD,GBP,Inactive,Locked,3,2
TX000031,AC00906,2791.96,08/04/2024 08:22,Debit,Boston,D000684,95.5.133.252,M007,Mobile,28,Doctor,67,4,5178.42,05/03/2023 17:59,SA006192,RA008921,Australia,Spain,AUD,AUD,Active,Valid,3,0
TX000032,AC00032,4493.38,04/12/2024 22:18,Credit,Phoenix,D000922,197.172.252.96,M043,Mobile,37,Developer,118,2,20106.12,25/04/2023 21:38,SA006523,RA005203,Italy,Australia,GBP,EUR,Suspended,Valid,3,0
TX000033,AC00779,1804.18,30/08/2024 05:30,Credit,Houston,D000303,155.38.206.97,M004,Mobile,62,Developer,22,2,27031.78,NaN/NaN/NaN NaN:NaN,SA008456,RA007734,Canada,USA,EUR,USD,Inactive,Invalid,3,2
TX000034,AC00576,1820.49,20/03/2023 00:10,Transfer,Chicago,D000421,253.97.153.247,M026,ATM,43,Teacher,154,5,46924.55,NaN/NaN/NaN NaN:NaN,SA007784,RA004490,USA,Italy,EUR,EUR,Suspended,Locked,3,0
TX000035,AC00669,1576.64,08/05/2023 20:26,Withdrawal,Phoenix,D000189,120.200.159.124,M008,ATM,66,Manager,17,5,20544.19,08/05/2023 14:08,SA001262,RA006413,Netherlands,Spain,GBP,GBP,Suspended,Valid,3,3
TX000036,AC00840,1973.91,13/04/2024 16:03,Credit,Phoenix,D000891,225.136.136.184,M047,ATM,20,Architect,187,3,6685.72,NaN/NaN/NaN NaN:NaN,SA009990,RA004193,Italy,Italy,CAD,GBP,Flagged,Invalid,3,3
TX000037,AC00639,3382.30,26/02/2024 21:14,Credit,Los Angeles,D000142,69.200.205.100,M095,Mobile,70,Architect,118,3,45088.21,NaN/NaN/NaN NaN:NaN,SA007858,RA008200,Italy,France,GBP,GBP,Flagged,Valid,3,1
TX000038,AC00291,854.34,27/01/2024 18:39,Withdrawal,Mesa,D000989,179.199.134.102,M047,POS,41,Sales,55,1,7079.26,NaN/NaN/NaN NaN:NaN,SA009931,RA007884,Canada,France,CAD,AUD,Inactive,Locked,3,1
TX000039,AC00581,4747.04,11/09/2023 17:02,Withdrawal,Los Angeles,D000859,178.121.20.255,M089,Branch,30,Accountant,109,1,13168.38,04/09/2023 14:52,SA003088,RA004301,Netherlands,Australia,CAD,EUR,Inactive,Valid,3,0
TX000040,AC00315,4306.21,21/06/2024 21:20,Withdrawal,Denver,D000085,125.49.110.66,M048,Mobile,45,Consultant,116,1,12728.87,NaN/NaN/NaN NaN:NaN,SA001753,RA008965,Canada,UK,AUD,EUR,Flagged,Locked,3,2
TX000041,AC00648,1864.55,15/01/2023 08:10,Withdrawal,Phoenix,D000652,80.21.105.176,M003,Online,19,Consultant,150,4,11758.78,NaN/NaN/NaN NaN:NaN,SA002495,RA000593,France,Netherlands,AUD,EUR,Suspended,Valid,3,1
TX000042,AC00259,922.69,03/07/2023 06:34,Credit,Mesa,D000778,14.135.219.68,M040,POS,39,Engineer,65,3,22838.53,17/01/2023 19:59,SA004123,RA008551,Germany,Australia,CAD,AUD,Flagged,Invalid,3,0
TX000043,AC00596,3049.44,23/01/2024 19:58,Credit,Atlanta,D000515,233.136.189.38,M069,Branch,43,Teacher,117,1,31268.23,NaN/NaN/NaN NaN:NaN,SA005395,RA003084,Netherlands,Australia,CAD,CAD,Flagged,Locked,3,3
TX000044,AC00928,1736.38,27/12/2023 19:50,Withdrawal,Chicago,D000098,107.137.165.226,M036,Online,56,Lawyer,32,3,8226.66,NaN/NaN/NaN NaN:NaN,SA009483,RA005702,Spain,Australia,GBP,USD,Flagged,Locked,3,1
TX000045,AC00268,120.34,02/12/2024 22:56,Debit,Houston,D000218,28.143.102.206,M072,Mobile,23,Manager,88,2,12524.00,25/06/2023 14:49,SA007063,RA001230,USA,Spain,EUR,AUD,Inactive,Valid,3,2
TX000046,AC00249,4891.22,06/12/2023 06:01,Debit,San Diego,D000608,91.134.191.81,M083,Branch,72,Developer,21,5,5175.66,07/06/2023 01:54,SA007320,RA002858,Canada,France,CAD,USD,Inactive,Locked,3,1
TX000047,AC00985,2339.42,12/03/2024 20:05,Transfer,San Diego,D000564,223.195.95.104,M099,POS,20,Nurse,111,1,8014.08,19/05/2023 12:39,SA005343,RA004246,Italy,France,EUR,GBP,Flagged,Valid,3,1
TX000048,AC00285,2088.40,25/10/2023 13:43,Withdrawal,Chicago,D000687,34.2.77.160,M056,POS,45,Accountant,128,2,29564.64,NaN/NaN/NaN NaN:NaN,SA006158,RA005454,Australia,USA,EUR,USD,Active,Locked,3,0
TX000049,AC00408,2702.74,30/07/2023 11:02,Debit,New York,D000173,191.45.144.115,M086,Online,55,Lawyer,158,3,3732.95,NaN/NaN/NaN NaN:NaN,SA006038,RA007546,USA,Spain,EUR,EUR,Suspended,Locked,3,1
TX000050,AC00336,1755.29,16/03/2023 10:51,Transfer,Los Angeles,D000552,161.230.140.101,M029,Online,73,Accountant,36,1,15235.52,NaN/NaN/NaN NaN:NaN,SA002829,RA001316,Spain,UK,AUD,CAD,Suspended,Valid,3,1
TX000051,AC00213,4847.69,13/11/2024 09:03,Credit,Dallas,D000361,70.13.99.94,M075,Online,30,Analyst,59,2,20754.58,NaN/NaN/NaN NaN:NaN,SA005559,RA006149,Canada,Netherlands,CAD,EUR,Suspended,Valid,3,1
TX000052,AC00795,3727.10,15/03/2024 18:03,Transfer,Chicago,D000243,241.121.14.13,M013,ATM,30,Designer,90,1,47280.47,NaN/NaN/NaN NaN:NaN,SA009255,RA000441,UK,Italy,EUR,GBP,Inactive,Valid,3,0
TX000053,AC00611,3930.93,18/03/2024 20:15,Credit,Seattle,D000326,250.79.9.48,M032,Mobile,31,Student,158,3,10786.90,NaN/NaN/NaN NaN:NaN,SA008186,RA001711,Australia,Australia,USD,USD,Active,Invalid,3,0
TX000054,AC00362,2828.50,09/08/2023 15:24,Transfer,San Diego,D000774,223.139.94.43,M071,ATM,57,Nurse,30,5,46889.05,30/07/2023 01:55,SA007453,RA005335,Canada,UK,CAD,CAD,Active,Valid,3,1
TX000055,AC00366,1513.07,22/07/2023 17:24,Credit,Raleigh,D000950,36.8.175.153,M075,Branch,61,Designer,138,1,16059.43,NaN/NaN/NaN NaN:NaN,SA008343,RA006370,UK,UK,AUD,AUD,Inactive,Invalid,3,0
TX000056,AC00703,2643.75,28/07/2023 05:21,Transfer,Boston,D000572,180.94.147.137,M064,Branch,58,Student,62,1,16035.50,NaN/NaN/NaN NaN:NaN,SA001703,RA001994,UK,France,CAD,USD,Suspended,Valid,3,2
TX000057,AC00484,2234.46,23/06/2023 19:00,Transfer,San Diego,D000851,62.83.157.9,M054,ATM,32,Student,156,3,25569.07,NaN/NaN/NaN NaN:NaN,SA002563,RA004677,USA,Australia,USD,AUD,Inactive,Invalid,3,2
TX000058,AC00702,59.81,27/04/2023 06:49,Withdrawal,Seattle,D000238,253.191.112.166,M059,Branch,51,Manager,26,1,31869.61,NaN/NaN/NaN NaN:NaN,SA009488,RA009084,Belgium,Italy,USD,USD,Flagged,Valid,3,1
TX000059,AC00105,1958.40,17/08/2023 11:25,Debit,Austin,D000858,108.195.166.44,M004,Mobile,35,Sales,169,4,21414.39,NaN/NaN/NaN NaN:NaN,SA006520,RA009175,Germany,Canada,GBP,AUD,Active,Invalid,3,1
TX000060,AC00658,2147.99,15/03/2024 12:16,Credit,Chicago,D000283,194.44.106.211,M012,Branch,50,Architect,15,1,20330.72,NaN/NaN/NaN NaN:NaN,SA001318,RA000713,Netherlands,USA,EUR,AUD,Flagged,Invalid,3,1
TX000061,AC00686,177.13,13/01/2024 06:52,Debit,Los Angeles,D000315,9.165.167.143,M006,Online,33,Consultant,135,5,10128.69,NaN/NaN/NaN NaN:NaN,SA001388,RA004655,Netherlands,UK,EUR,CAD,Flagged,Valid,3,3
TX000062,AC00356,4267.08,10/04/2023 14:41,Debit,Chicago,D000305,239.57.202.76,M079,ATM,76,Developer,180,3,34051.74,19/03/2023 11:34,SA004059,RA005563,Spain,Italy,AUD,CAD,Flagged,Locked,3,2
TX000063,AC00774,4087.04,29/04/2023 07:54,Debit,Boston,D000854,248.44.131.138,M004,Mobile,22,Architect,91,4,1589.51,NaN/NaN/NaN NaN:NaN,SA000195,RA001820,UK,Australia,GBP,GBP,Inactive,Locked,3,2
TX000064,AC00561,833.76,09/03/2024 13:53,Transfer,Seattle,D000842,160.98.117.108,M052,Mobile,68,Developer,59,5,27377.31,11/09/2023 17:13,SA006166,RA008080,Germany,USA,CAD,AUD,Active,Invalid,3,2
TX000065,AC00948,3716.49,20/08/2023 11:28,Debit,Miami,D000263,128.184.9.112,M078,Mobile,35,Student,17,5,22313.24,NaN/NaN/NaN NaN:NaN,SA003954,RA003319,UK,Germany,USD,EUR,Inactive,Locked,3,0
TX000066,AC00860,1857.42,17/06/2024 02:17,Debit,Houston,D000253,34.210.185.32,M022,Online,67,Nurse,176,2,17463.02,NaN/NaN/NaN NaN:NaN,SA001215,RA001419,USA,France,GBP,EUR,Flagged,Locked,3,1
TX000067,AC00273,2828.86,09/04/2023 04:01,Credit,Los Angeles,D000196,134.216.138.122,M045,Mobile,60,Architect,187,1,26213.01,04/04/2023 05:38,SA004482,RA002867,Canada,Spain,GBP,CAD,Active,Locked,3,0
TX000068,AC00048,1017.71,06/06/2024 01:42,Transfer,Atlanta,D000936,75.185.59.63,M065,Online,72,Developer,123,2,33610.59,25/10/2023 22:20,SA000290,RA003645,Australia,Italy,GBP,GBP,Inactive,Locked,3,3
TX000069,AC00201,1921.71,11/10/2023 10:05,Debit,New York,D000808,53.237.154.49,M094,Branch,35,Developer,73,3,7457.15,23/03/2023 11:44,SA000365,RA007476,France,Australia,USD,AUD,Active,Invalid,3,2
TX000070,AC00506,2368.27,15/05/2024 16:06,Credit,Austin,D000768,82.53.32.226,M090,ATM,43,Nurse,151,3,34413.58,NaN/NaN/NaN NaN:NaN,SA002414,RA003213,UK,France,EUR,CAD,Flagged,Valid,3,2
TX000071,AC00057,464.60,12/03/2023 15:54,Credit,Seattle,D000092,110.170.105.140,M020,Mobile,29,Teacher,115,3,12988.28,05/05/2023 23:35,SA001077,RA006412,USA,France,GBP,USD,Inactive,Valid,3,0
TX000072,AC00469,3825.62,18/05/2024 11:20,Transfer,Seattle,D000127,36.108.123.31,M082,POS,30,Nurse,119,2,21825.40,NaN/NaN/NaN NaN:NaN,SA004207,RA005074,Canada,UK,USD,GBP,Flagged,Locked,3,3
TX000073,AC00944,1999.56,15/12/2023 21:44,Withdrawal,Dallas,D000062,146.238.181.3,M081,Mobile,34,Nurse,12,5,21042.98,NaN/NaN/NaN NaN:NaN,SA002496,RA008976,UK,USA,CAD,CAD,Active,Valid,3,1
TX000074,AC00679,835.75,06/11/2023 22:24,Debit,Denver,D000415,92.54.128.37,M088,Branch,71,Developer,103,4,49658.44,03/06/2023 21:26,SA009256,RA008818,Canada,Germany,CAD,EUR,Flagged,Valid,3,3
TX000075,AC00837,3604.49,02/05/2024 01:19,Transfer,Raleigh,D000362,47.250.91.91,M098,Mobile,26,Doctor,80,5,27687.24,25/10/2023 17:58,SA005246,RA000449,Belgium,Australia,AUD,CAD,Inactive,Valid,3,1
TX000076,AC00391,3881.94,16/07/2024 06:35,Debit,Mesa,D000639,58.237.71.79,M066,Online,28,Developer,137,5,9631.57,NaN/NaN/NaN NaN:NaN,SA007423,RA002761,Italy,Italy,GBP,USD,Active,Locked,3,2
TX000077,AC00738,2787.35,12/12/2023 13:30,Withdrawal,New York,D000678,84.162.65.64,M069,POS,32,Engineer,105,4,31642.70,09/09/2023 07:06,SA002677,RA003518,Germany,Italy,GBP,CAD,Flagged,Invalid,3,2
TX000078,AC00600,3101.89,04/06/2024 01:05,Withdrawal,Austin,D000938,236.184.72.103,M047,Branch,27,Analyst,188,2,37397.46,07/03/2024 14:46,SA001868,RA005473,USA,Spain,AUD,AUD,Inactive,Invalid,3,0
TX000079,AC00541,3161.06,06/11/2023 03:08,Debit,Houston,D000251,132.182.37.15,M012,Branch,74,Consultant,66,3,20792.69,17/05/2023 18:07,SA000216,RA008899,Germany,Germany,EUR,GBP,Flagged,Invalid,3,3
TX000080,AC00657,3177.41,13/05/2023 02:32,Withdrawal,Miami,D000586,35.19.8.234,M094,Mobile,18,Consultant,27,2,4881.53,NaN/NaN/NaN NaN:NaN,SA006465,RA003128,Germany,Italy,USD,GBP,Suspended,Locked,3,1
TX000081,AC00247,287.79,26/09/2024 09:01,Credit,Boston,D000360,153.141.137.149,M083,Mobile,77,Manager,34,4,41427.19,NaN/NaN/NaN NaN:NaN,SA004096,RA005166,Belgium,UK,CAD,AUD,Inactive,Valid,3,1
TX000082,AC00240,873.62,04/08/2024 10:07,Credit,Phoenix,D000776,86.198.197.149,M056,ATM,36,Consultant,90,2,42530.95,06/04/2024 10:32,SA008233,RA007514,Belgium,Belgium,GBP,AUD,Inactive,Locked,3,3
TX000083,AC00330,22.22,13/05/2024 06:53,Credit,Seattle,D000632,88.179.62.236,M048,Online,58,Manager,117,5,47467.39,NaN/NaN/NaN NaN:NaN,SA003425,RA001155,Canada,Netherlands,EUR,EUR,Flagged,Valid,3,0
TX000084,AC00721,3742.90,20/12/2023 04:38,Transfer,Houston,D000492,254.9.127.233,M058,POS,22,Student,49,5,47467.94,NaN/NaN/NaN NaN:NaN,SA008193,RA008470,Italy,Germany,USD,USD,Active,Valid,3,2
TX000085,AC00795,527.78,27/04/2023 23:03,Credit,Denver,D000544,212.142.220.50,M018,POS,21,Developer,79,4,36173.53,NaN/NaN/NaN NaN:NaN,SA000645,RA002762,Canada,USA,USD,AUD,Inactive,Valid,3,0
TX000086,AC00790,3266.72,16/01/2024 06:42,Withdrawal,Seattle,D000957,158.214.96.216,M070,Branch,40,Designer,39,4,37622.51,NaN/NaN/NaN NaN:NaN,SA003935,RA002053,Netherlands,Canada,USD,GBP,Active,Locked,3,0
TX000087,AC00856,2134.93,21/12/2023 08:03,Debit,Dallas,D000055,69.124.63.225,M054,Branch,60,Designer,158,4,34071.57,NaN/NaN/NaN NaN:NaN,SA006896,RA003501,Canada,USA,EUR,EUR,Suspended,Valid,3,3
TX000088,AC00871,1990.96,14/04/2023 01:16,Credit,New York,D000767,165.139.113.85,M067,Mobile,30,Lawyer,34,4,26335.91,NaN/NaN/NaN NaN:NaN,SA000365,RA005149,Netherlands,Spain,AUD,EUR,Flagged,Locked,3,3
TX000089,AC00758,3197.35,17/01/2023 20:52,Withdrawal,Phoenix,D000695,250.48.178.176,M089,Branch,72,Engineer,32,2,32693.49,NaN/NaN/NaN NaN:NaN,SA002538,RA004121,France,Belgium,EUR,GBP,Flagged,Locked,3,1
TX000090,AC00299,547.06,04/02/2023 13:07,Transfer,Raleigh,D000771,1.244.241.190,M006,ATM,30,Teacher,106,4,3769.08,06/03/2023 18:01,SA009446,RA007127,Belgium,France,CAD,USD,Flagged,Invalid,3,0
TX000091,AC00970,4383.80,02/11/2024 15:53,Withdrawal,Houston,D000845,206.219.35.210,M094,Mobile,54,Architect,157,1,36629.97,02/07/2023 03:13,SA003176,RA003863,USA,France,USD,AUD,Suspended,Valid,3,3
TX000092,AC00251,3606.32,15/04/2023 10:46,Withdrawal,Chicago,D000082,188.160.146.28,M080,Online,33,Lawyer,70,2,30516.33,NaN/NaN/NaN NaN:NaN,SA007799,RA007487,Australia,Italy,CAD,AUD,Flagged,Invalid,3,1
TX000093,AC00719,3.53,25/11/2023 13:08,Withdrawal,Phoenix,D000442,246.151.234.6,M026,POS,65,Engineer,96,2,27665.28,NaN/NaN/NaN NaN:NaN,SA007582,RA008025,Netherlands,USA,GBP,USD,Suspended,Valid,3,0
TX000094,AC00156,2737.92,02/05/2024 22:58,Transfer,Atlanta,D000604,170.150.231.229,M019,Mobile,43,Manager,156,5,4488.07,19/01/2023 01:56,SA004150,RA003029,Germany,Italy,CAD,CAD,Flagged,Locked,3,0
TX000095,AC00088,278.47,22/02/2023 19:13,Transfer,Miami,D000316,153.98.210.137,M018,Online,68,Developer,53,5,21787.08,NaN/NaN/NaN NaN:NaN,SA002276,RA007408,Italy,Belgium,CAD,USD,Flagged,Locked,3,3
TX000096,AC00749,381.14,29/08/2024 11:22,Debit,Boston,D000679,2.185.187.114,M078,Mobile,36,Architect,75,1,42231.90,NaN/NaN/NaN NaN:NaN,SA004001,RA009632,Netherlands,Italy,AUD,GBP,Inactive,Invalid,3,0
TX000097,AC00297,3583.87,10/03/2023 01:51,Credit,San Diego,D000116,104.12.176.165,M020,ATM,34,Lawyer,71,1,36276.42,18/03/2023 13:30,SA004421,RA003474,Italy,USA,GBP,GBP,Inactive,Locked,3,1
TX000098,AC00802,77.33,17/10/2024 04:49,Withdrawal,Denver,D000586,232.176.222.127,M023,Branch,32,Sales,153,2,25842.96,NaN/NaN/NaN NaN:NaN,SA001812,RA006183,USA,Canada,USD,CAD,Active,Valid,3,1
TX000099,AC00816,1864.19,29/10/2023 10:52,Debit,Denver,D000556,67.151.133.238,M022,Online,37,Engineer,176,4,46635.54,NaN/NaN/NaN NaN:NaN,SA009331,RA004771,France,Italy,GBP,GBP,Flagged,Locked,3,3
TX000100,AC00021,3540.20,05/07/2023 21:42,Debit,Atlanta,D000467,112.159.230.55,M003,Online,31,Architect,97,1,23952.99,16/03/2023 00:28,SA000083,RA009287,Canada,Italy,EUR,GBP,Active,Locked,3,1
TX000101,AC00441,1492.27,19/10/2024 17:29,Withdrawal,Los Angeles,D000131,122.69.115.75,M025,POS,19,Nurse,103,1,15551.11,NaN/NaN/NaN NaN:NaN,SA005811,RA004610,Australia,Italy,AUD,GBP,Active,Invalid,3,2
TX000102,AC00521,3879.98,17/12/2023 15:14,Withdrawal,Denver,D000142,247.221.239.235,M092,Mobile,41,Engineer,167,3,9383.14,NaN/NaN/NaN NaN:NaN,SA009173,RA009743,USA,UK,USD,USD,Inactive,Valid,3,3
TX000103,AC00953,4379.81,13/07/2023 16:43,Withdrawal,Chicago,D000985,213.77.31.143,M079,Branch,74,Engineer,122,4,44667.30,NaN/NaN/NaN NaN:NaN,SA005583,RA007830,Spain,Canada,GBP,AUD,Flagged,Invalid,3,2
TX000104,AC00559,2672.81,02/09/2023 10:47,Transfer,New York,D000414,185.236.49.145,M054,Branch,51,Accountant,124,5,8496.73,10/01/2023 04:16,SA005472,RA009378,Australia,Italy,EUR,USD,Flagged,Invalid,3,3
TX000105,AC00642,2787.69,06/12/2023 17:33,Debit,Miami,D000343,28.162.157.189,M004,POS,26,Teacher,29,5,16348.99,30/05/2023 07:07,SA003515,RA004935,Belgium,Canada,GBP,CAD,Inactive,Locked,3,2
TX000106,AC00684,3276.04,03/02/2023 07:10,Withdrawal,Seattle,D000333,252.21.5.142,M085,Online,71,Manager,164,2,1662.80,10/01/2023 17:35,SA005143,RA001703,Italy,France,GBP,EUR,Active,Invalid,3,1
TX000107,AC00820,4620.77,04/10/2024 01:09,Transfer,Dallas,D000769,125.220.18.142,M099,POS,36,Sales,124,3,11742.28,06/02/2023 20:55,SA002357,RA006173,France,Australia,CAD,GBP,Suspended,Valid,3,1
TX000108,AC00373,1638.00,26/08/2024 21:02,Debit,Austin,D000487,115.221.185.242,M008,POS,31,Student,98,5,35019.60,NaN/NaN/NaN NaN:NaN,SA000062,RA003989,Italy,Belgium,EUR,EUR,Suspended,Valid,3,0
TX000109,AC00419,2693.04,26/12/2023 06:06,Credit,Atlanta,D000445,190.122.55.33,M093,Online,72,Developer,107,3,37414.88,NaN/NaN/NaN NaN:NaN,SA006822,RA001616,Italy,Italy,GBP,USD,Flagged,Valid,3,2
